periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-AN010. Third dose IPT (IPT3),105-AN01a. ANC 1st Visit for women,105-AN01b. ANC 1st Visit for women (1st Trimester),105-AN02. ANC 4th Visit for women,105-AN03. ANC 4+ visits for Women,105-AN04. ANC 8 contacts/visits for women,105-AN05. Total ANC contacts/visits (New clients + Re-attendances),105-AN06a. Total Referrals to ANC unit,105-AN06b. Referrals to ANC unit from community services,105-AN07a. Total ANC Referrals from unit,105-AN07b. ANC Referrals from unit for mothers newly enrolled in MCH groups,105-AN08. First dose IPT (IPT1),105-AN09. Second dose IPT (IPT2),105-AN11. IPT Dose 4+,105-AN12a. TB Screening for ANC clients - Screened for TB,105-AN12b. TB Screening for ANC clients - Presumed to have TB,105-AN12c. TB Screening for ANC clients - Diagnosed with  TB,105-AN13a. Blood and Rhesus Group (O) - Total,105-AN13b. Blood and Rhesus Group (O) - Rhesus(O+),105-AN14a. Blood and Rhesus Group (A) - Total,105-AN14b. Blood and Rhesus Group (A) - Rhesus(A+),105-AN15a. Blood and Rhesus Group (B) - Total,105-AN15b. Blood and Rhesus Group (B) - Rhesus(B+),105-AN16a. Blood and Rhesus Group (AB) - Total,105-AN16b. Blood and Rhesus Group (AB) - Rhesus(AB+),105-AN17. Pregnant women who were tested for Anaemia using Hb Test at ANC 1st contact / visit,105-AN18. Pregnant women with Hb <10g/dl at ANC 1st contact / visit,105-AN19. Pregnant women who were tested for anaemia using Hb test at ANC after 36 weeks,105-AN20. Pregnant women with Anaemia (Hb <10g/dl) at ANC after 36 weeks,105-AN21. Pregnant Women receiving atleast 30 tablets of Iron/Folic Acid at ANC 1st contact /  Visit,105-AN22. Pregnant Women receiving atleast 30 tablets of Iron/Folic Acid at ANC after 36 weeks,105-AN23. Pregnant Women receiving LLINs at ANC 1st visit,105-AN24a. Pregnant women who received obstetric ultra sound scan during any ANC visits - Total,105-AN24b. Pregnant women who received obstetric ultra sound scan during any ANC visits - Done at or before 24 weeks,105-AN25a. Pregnant women dewormed or receiving mebendazole - Total,105-AN25b. Pregnant women dewormed or receiving mebendazole - Done after 28 weeks,105-AN26a. Pregnant Women tested for syphilis for first time during this pregnancy,105-AN26b. Pregnant Women tested for syphilis for first time during this pregnancy - Positive,105-AN26c. Pregnant Women tested for syphilis for first time during this pregnancy - Started on Treatment,105-AN27a. Male partners tested for syphilis,105-AN27b. Male partners tested for syphilis -Positive,105-AN27c. Male partners tested for syphilis (Started on Treatment),105-AN28a. Pregnant women tested for Hepatitis B,105-AN28b. Pregnant women tested for Hepatitis B - Positive,105-AN28c. Pregnant women tested for Hepatitis B - Started on Treatment,105-AN29a. Pregnant women newly tested for HIV in this pregnancy at any ANC visit (TR & TRR) - total,105-AN29b. Pregnant women newly tested for HIV in this pregnancy at any ANC visit (TR & TRR) - ANC 1,105-AN30a. Pregnant Women tested HIV+ for 1st time this pregnancy (TRR) at any ANC Visit - Total,105-AN30b. Pregnant Women tested HIV+ for 1st time this pregnancy (TRR) at any ANC Visit - ANC 1,105-AN31a. HIV+ Pregnant women assessed by CD4 - Total,105-AN31b. HIV+ Pregnant women assessed by CD4 - ANC 1,"105-AN32. HIV+ pregnant women initiated on ART for eMTCT at any visit irrespective of when tested HIV+ (TRR,TRR+,TRR,TRRK)",105-AN33a. Total Pregnant Women who knew status before 1st ANC - TRK + TRRK,105-AN33b. Pregnant Women who knew status before 1st ANC - HIV+ TRRK,105-AN34a. HIV+ pregnant women already on ART before 1st ANC - Total(ART-K),105-AN34b. HIV+ pregnant women already on ART before 1st ANC - Viral Load Sample collected(ART-K),105-AN34c. HIV+ pregnant women already on ART before 1st ANC - Viral Load Results returned(ART-K),105-AN34d. HIV+ pregnant women already on ART before 1st ANC - Viral Load Suppressed(ART-K),105-AN35a. Pregnant women who re-tested later in pregnancy - Total (TR+ &TRR+),105-AN35b. Pregnant women who re-tested later in pregnancy - HIV+ (TRR+),105-AN36. HIV+ pregnant women given ARV prophylaxis for the un born infants for the 1st time in ANC,105-AN37a. Pregnant women given self-testing kits for their male partners - Total,105-AN37b. Pregnant women given self-testing kits for their male partners - Tests returned HIV+,105-AN37c. Pregnant women given self-testing kits for their male partners - Tests returned HIV-,105-AN38a. Male partners received HIV test results in eMTCT - Total tested (TR & TRR),105-AN38b. Male partners received HIV test results in eMTCT - HIV+ (TRR),105-AN39a. Male partners with a known status at their first visit as a couple in ANC - Total (TRK & TRRK),105-AN39b. Male partners with a known status at their first visit as a couple in ANC - HIV+ (TRRK),105-AN40. HIV+ Male partners initiated on ART in the ANC setting,105-AN41. Number of discordant couples identified in ANC,105-AN42a. Pregnant women who received Counselling (Maternal Nutrition ) - Total,105-AN42b. Pregnant women who received Counselling (Maternal Nutrition) - HIV+,105-AN42c. Pregnant women who received Counselling (Infant Feeding ) - Total,105-AN42d. Pregnant women who received Counselling (Infant Feeding ) - HIV+
202401,January 2024,202401,,MOH - Uganda,North Central,Nakaseke District,Nakaseke Town Council,Access Life Care Health Centre II,BQl9b7pSAhx,Access Life Care Health Centre II,,,7.0,17.0,4.0,6.0,2.0,0.0,46.0,10.0,10.0,0.0,0.0,17.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,5.0,17.0,10.0,10.0,24.0,16.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,42.0,0.0
202401,January 2024,202401,,MOH - Uganda,Kampala,Kampala District,Central Division,Adventist Medical Centre,aWtkpwtp9JE,Adventist Medical Centre,,,2.0,4.0,1.0,2.0,1.0,0.0,12.0,12.0,1.0,0.0,0.0,1.0,3.0,0.0,12.0,0.0,0.0,3.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,8.0,4.0,5.0,0.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,4.0,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0
202401,January 2024,202401,,MOH - Uganda,North Central,Mityana District,Kakindu Subcounty,Arch Bishop Kiwanuka Mayirye Health Centre III,MGoloBUb8vi,Arch Bishop Kiwanuka Mayirye Health Centre III,,,12.0,19.0,6.0,7.0,2.0,,53.0,,,,,19.0,12.0,5.0,53.0,,,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,19.0,,,,6.0,,19.0,9.0,2.0,19.0,3.0,19.0,,,,,,19.0,,,17.0,17.0,,,,,,2.0,2.0,,,,,,,,,,,,,,,,,53.0,2.0,53.0,2.0
202401,January 2024,202401,,MOH - Uganda,South Central,Wakiso District,Wakiso Subcounty,Bbira Ngo Health Centre II,alzSFDpdbba,Bbira Ngo Health Centre II,,,45.0,111.0,33.0,63.0,40.0,1.0,215.0,,,4.0,,85.0,36.0,41.0,111.0,,,55.0,50.0,36.0,33.0,16.0,16.0,4.0,4.0,,,,,33.0,,111.0,,,215.0,177.0,111.0,3.0,3.0,1.0,,,111.0,2.0,,105.0,105.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,,,,31.0,,,,,,5.0,,,,,,111.0,1.0,111.0,1.0
202401,January 2024,202401,,MOH - Uganda,North Central,Luwero District,Luweero Town Council,Bishop Ascili Hospital,adofLhuj4HH,Bishop Ascili Hospital,,,34.0,61.0,11.0,36.0,20.0,2.0,225.0,0.0,0.0,0.0,0.0,48.0,43.0,41.0,225.0,,,79.0,79.0,40.0,39.0,43.0,41.0,7.0,7.0,42.0,1.0,0.0,0.0,11.0,20.0,55.0,90.0,35.0,57.0,25.0,55.0,2.0,2.0,11.0,0.0,0.0,21.0,0.0,0.0,55.0,55.0,,,,,,6.0,5.0,5.0,5.0,,,20.0,,,,,,,,1.0,1.0,,,225.0,25.0,225.0,25.0
202401,January 2024,202401,,MOH - Uganda,Busoga,Kamuli District,Kitayunjwa Subcounty,Budhatemwa Health Centre II,M7IdNzIwa32,Budhatemwa Health Centre II,,,6.0,17.0,8.0,4.0,10.0,,31.0,,,,,12.0,6.0,6.0,,,,,,,,,,,,,,,,8.0,,17.0,,,8.0,3.0,17.0,,,17.0,,,,,,17.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
202401,January 2024,202401,,MOH - Uganda,North Central,Luwero District,Busiika Town Council,Bugema University Health Centre III,hrEjabfmkqU,Bugema University Health Centre III,,,17.0,13.0,2.0,18.0,17.0,,77.0,,,,,12.0,18.0,18.0,,,,37.0,37.0,12.0,12.0,16.0,16.0,1.0,1.0,3.0,1.0,,,13.0,11.0,13.0,13.0,5.0,21.0,6.0,13.0,1.0,1.0,,,,13.0,1.0,1.0,13.0,13.0,,,,,,4.0,4.0,4.0,4.0,3.0,3.0,,,,,,,,,,,,,77.0,4.0,77.0,4.0
202401,January 2024,202401,,MOH - Uganda,Busoga,Kamuli District,Butansi Subcounty,Bugeywa Health Centre II,b9niqLqoyqP,Bugeywa Health Centre II,,,35.0,71.0,38.0,50.0,71.0,4.0,224.0,,,,,50.0,56.0,43.0,218.0,,,,,,,,,,,,,,,38.0,12.0,71.0,,,87.0,87.0,71.0,2.0,2.0,59.0,,,71.0,,,71.0,71.0,1.0,1.0,,,1.0,,,,,,,,,,,,,59.0,,9.0,1.0,,,,,,
202401,January 2024,202401,,MOH - Uganda,Busoga,Kamuli District,Bugulumbya Subcounty,Bugulumbya Flep Health Centre II,ptjWwKVSEsQ,Bugulumbya Flep Health Centre II,,,2.0,11.0,7.0,6.0,9.0,3.0,29.0,,,,,9.0,7.0,,,,,,,,,,,,,,,,,7.0,11.0,11.0,,,,,11.0,,,4.0,1.0,1.0,,,,11.0,11.0,,,,,,,,,,,,,,,,,,4.0,,,,,,29.0,,29.0,
202401,January 2024,202401,,MOH - Uganda,South Central,Gomba District,Kyegonza Subcounty,Bukalagi Health Centre III,tw7g2aShrXi,Bukalagi Health Centre III,,,11.0,28.0,10.0,11.0,5.0,,79.0,,,,,21.0,22.0,4.0,79.0,,,,,,,,,,,,,,,28.0,,28.0,,,28.0,,48.0,,,,,,,,,24.0,24.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,12.0,,,10.0,,10.0,8.0,,,,,,79.0,4.0,79.0,4.0
