periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-MA01. Admissions,105-MA02a. Referrals to maternity unit - Total,105-MA02b. Referrals to maternity unit - Community services,105-MA03. Maternity referrals out,105-MA04a. Deliveries in unit - Total,105-MA04b1. Deliveries in unit -Live births - Total,105-MA04b2. Deliveries in unit -Live births - less than 2.5kg,105-MA04c1. Deliveries in unit - Fresh still birth - Total,105-MA04c2. Deliveries in unit - Fresh still birth - less than 2.5kg,105-MA04d1. Deliveries in unit - Macerated still birth - Total,105-MA04d2. Deliveries in unit - Macerated still birth - less than 2.5kg,105-MA05a. Pre-Term births - Total,105-MA05b. Pre-Term births - Alive,105-MA05c. Pre-Term births - <2.5 Kgs,105-MA06a. Born Before Arrival - Total,105-MA06b. Born Before Arrival - Alive,105-MA06c. Babies born  before arrival - <2.5 Kgs,105-MA07. Low birth weight babies initiated on kangaroo (KMC),105-MA08. Live babies at discharge,105-MA09. Babies born with defect,105-MA10. Babies received LLIN,105-MA11. Newborn deaths (0-7 days),105-MA12. Neonatal Death 8-28 days,105-MA13. Maternal deaths,105-MA14a. Mothers who initiated breastfeeding within the 1st hour after delivery - Total,105-MA14b. Mothers who initiated breastfeeding within the 1st hour after delivery - HIV+,105-MA15a. Women tested for HIV in labour 1st time this Pregnancy - Total (TR & TRR),105-MA15b. Women tested for HIV in labour 1st time this Pregnancy - HIV+ (TRR),105-MA16a. Women re-tested for HIV in labour - Total (TR & TRR),105-MA16b. Women re-tested for HIV in labour - HIV+ (TRR+),105-MA17. Women initiating ART in maternity - HIV+,105-MA18a. Male partners received HIV test results in the maternity setting - Total (TR & TRR),105-MA18b. Male partners received HIV test results in the maternity setting - HIV+ (TRR),105-MA19. HIV+ male partners initiated on ART in the maternity setting,105-MA20. Number of discordant couples identified in maternity,105-MA21a. Mothers Received nutrition Counselling - Maternal Nutrition - Total,105-MA21b. Mothers Received nutrition Counselling - Maternal Nutrition - HIV+,105-MA21c. Mothers Received nutrition Counselling - Infant Feeding - Total,105-MA21d. Mothers Received nutrition Counselling - Infant Feeding - HIV+,105-MA22a. Total Deliveries to HIV+ women in unit - Total,105-MA22b. Deliveries to HIV+ women in unit - Live births,105-MA23a. HIV-exposed babies given ARVs - Total,105-MA23b. HIV-exposed babies given ARVs High-risk Infants,105-MA24. No.of babies with Birth asphyxia,105-MA25. No. of Live babies Successfully Resuscitated,105-MA26. No. of babies who received PNC within 6 hours,105-MA26a. Received PNC check at 6 hours after birth - Baby,105-MA26b. Received PNC check at 6 hours after birth - Mother,105-MA27a. Received PNC check within 24 hours after birth - Baby,105-MA27b. Received PNC check within 24 hours after birth - Mother,105-MA28a. Uterotonics used in management of 3rd stage of labour - Oxytocin,105-MA28b. Uterotonics used in management of 3rd stage of labour - Misoprostol,105-MA28c. Uterotonics used in management of 3rd stage of labour - Egometrine
202301,January 2023,202301,,MOH - Uganda,North Central,Nakaseke District,Nakaseke Town Council,Access Life Care Health Centre II,BQl9b7pSAhx,Access Life Care Health Centre II,,,13.0,4.0,4.0,2.0,8.0,9.0,2.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,3.0,7.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,7.0,7.0,7.0,7.0,0.0,0.0
202301,January 2023,202301,,MOH - Uganda,Kampala,Kampala District,Central Division,Adventist Medical Centre,aWtkpwtp9JE,Adventist Medical Centre,,,2.0,1.0,1.0,,2.0,2.0,,,,,,,,,,,,,2.0,,2.0,,,,2.0,1.0,,,,,,,,,,2.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,2.0,2.0,2.0,2.0,2.0,,
202301,January 2023,202301,,MOH - Uganda,North Central,Mityana District,Kakindu Subcounty,Arch Bishop Kiwanuka Mayirye Health Centre III,MGoloBUb8vi,Arch Bishop Kiwanuka Mayirye Health Centre III,,,16.0,,,2.0,14.0,14.0,,,,,,,,,,,,,14.0,,14.0,,,,,,,,,,,,,,,14.0,,14.0,,,,,,,,,14.0,14.0,14.0,14.0,14.0,,
202301,January 2023,202301,,MOH - Uganda,South Central,Wakiso District,Wakiso Subcounty,Bbira Ngo Health Centre II,alzSFDpdbba,Bbira Ngo Health Centre II,,,48.0,,,6.0,42.0,41.0,2.0,7.0,,,,1.0,,,,,,2.0,41.0,,22.0,,,,41.0,,,,,,,,,,,41.0,,41.0,,,,,,,,,41.0,41.0,41.0,,,,
202301,January 2023,202301,,MOH - Uganda,North Central,Luwero District,Luweero Town Council,Bishop Ascili Hospital,adofLhuj4HH,Bishop Ascili Hospital,,,188.0,43.0,,,116.0,118.0,6.0,1.0,,,,,,,,,,,117.0,,,,,1.0,114.0,7.0,,,1.0,,,,,,,115.0,7.0,115.0,7.0,7.0,7.0,7.0,7.0,2.0,1.0,,117.0,115.0,117.0,114.0,86.0,60.0,
202301,January 2023,202301,,MOH - Uganda,Busoga,Kamuli District,Kitayunjwa Subcounty,Budhatemwa Health Centre II,M7IdNzIwa32,Budhatemwa Health Centre II,,,24.0,24.0,,,24.0,24.0,,,,,,,,,,,,,24.0,,,,,,24.0,,,,,,,,,,,24.0,,24.0,,,,,,,,,24.0,24.0,24.0,24.0,10.0,14.0,
202301,January 2023,202301,,MOH - Uganda,North Central,Luwero District,Busiika Town Council,Bugema University Health Centre III,hrEjabfmkqU,Bugema University Health Centre III,,,7.0,,,,7.0,7.0,,,,,,,,,,,,,7.0,,2.0,,,,7.0,1.0,,,,,,,,,,1.0,1.0,1.0,1.0,,,,,,,,7.0,7.0,7.0,7.0,7.0,,
202301,January 2023,202301,,MOH - Uganda,Busoga,Kamuli District,Butansi Subcounty,Bugeywa Health Centre II,b9niqLqoyqP,Bugeywa Health Centre II,,,37.0,7.0,7.0,2.0,35.0,35.0,,,,,,,,,,,,,35.0,,,,,,35.0,,,,,,,,,,,35.0,,35.0,,,,,,,,,35.0,35.0,35.0,35.0,35.0,,
202301,January 2023,202301,,MOH - Uganda,Busoga,Kamuli District,Bugulumbya Subcounty,Bugulumbya Flep Health Centre II,ptjWwKVSEsQ,Bugulumbya Flep Health Centre II,,,1.0,,,,1.0,1.0,,,,,,1.0,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,,
202301,January 2023,202301,,MOH - Uganda,South Central,Gomba District,Kyegonza Subcounty,Bukalagi Health Centre III,tw7g2aShrXi,Bukalagi Health Centre III,,,28.0,,,1.0,13.0,13.0,,,,,,,,,,,,,13.0,,13.0,,,,13.0,3.0,4.0,,1.0,,,2.0,,,,13.0,3.0,13.0,3.0,3.0,3.0,,,,,,13.0,13.0,13.0,13.0,13.0,,
