periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-OA01. New attendance,105-OA02. Re-attendance,108-CI02. No. of admissions,105-MA04a. Deliveries in unit - Total,105-PN01a. Post Natal Attendances - Mother,105-AN05. Total ANC contacts/visits (New clients + Re-attendances),105-CL01. BCG,105-CL02. Protection At Birth for TT(PAB),105-CL07. IPV,105-CL11. PCV 1,105-CL12. PCV 2,105-CL13. PCV 3,105-CL14. Rotavirus 1 Vaccine,105-CL15. Rotavirus 2 Vaccine,105-CL16. Measles (MR1),105-CL17. Measles 2 (MR2),105-FP01. Oral. Lo-Femenal,105-FP02. Oral. Microgynon,105-FP03. Oral. Ovrette or another POP,105-FP04. Oral. Levonogesteral,105-FP05. Oral. Others,105-FP06. Injectable DMPA(IM)3 months,105-FP07. Injectable DMPA(SC) 3 months,105-FP08. Injection 2 months,105-FP09. Injection 1 month,"105-FP10. 3 year implant (e.g. implananon NXT, Levo plant)",105-FP11. 4 year implant (e.g. Sino plant),105-FP12. 5 year implant (e.g. Jadella),105-FP13. IUD-Copper-T,105-FP14. IUD-Hormonal,105-FP15. FAM-SDM method,105-FP16. FAM-LAM,105-FP17. FAM-Two Days Method,105-FP18. Emergency Contraceptive Pills users,105-FP19. Female Condoms,105-FP20. Male Condoms,105-HT06. Individuals Received HIV test results,105-MF01. Female sterilization (tubal ligation),105-MF02. Male sterilization (vasectomy),105-PN01b. Post Natal Attendances,105-CH01. Vit A supplement (1st Dose),105-CH02. Vit A supplement (2nd Dose)
202001,January 2020,202001,,MOH - Uganda,North Central,Nakaseke District,Nakaseke Town Council,Access Life Care Health Centre II,BQl9b7pSAhx,Access Life Care Health Centre II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202001,January 2020,202001,,MOH - Uganda,Kampala,Kampala District,Central Division,Adventist Medical Centre,aWtkpwtp9JE,Adventist Medical Centre,,,0.0,0.0,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,485.0,,,,,
202001,January 2020,202001,,MOH - Uganda,North Central,Mityana District,Kakindu Subcounty,Arch Bishop Kiwanuka Mayirye Health Centre III,MGoloBUb8vi,Arch Bishop Kiwanuka Mayirye Health Centre III,,,375.0,68.0,91.0,15.0,31.0,29.0,19.0,,22.0,17.0,22.0,21.0,17.0,22.0,13.0,,,,,,,,,,,,,,,,,,,,,,78.0,,,31.0,88.0,28.0
202001,January 2020,202001,,MOH - Uganda,South Central,Wakiso District,Wakiso Subcounty,Bbira Ngo Health Centre II,alzSFDpdbba,Bbira Ngo Health Centre II,,,153.0,64.0,,14.0,14.0,145.0,41.0,,144.0,110.0,75.0,76.0,76.0,49.0,112.0,,,2.0,,,,19.0,8.0,,18.0,,,9.0,,,,,,,,220.0,,,,14.0,19.0,
202001,January 2020,202001,,MOH - Uganda,North Central,Luwero District,Luweero Town Council,Bishop Ascili Hospital,adofLhuj4HH,Bishop Ascili Hospital,,,1301.0,1607.0,331.0,67.0,72.0,137.0,51.0,,33.0,21.0,27.0,32.0,22.0,36.0,31.0,,,,,,,,,,,,,,,,,,,,,,389.0,,,105.0,54.0,
202001,January 2020,202001,,MOH - Uganda,Busoga,Kamuli District,Kitayunjwa Subcounty,Budhatemwa Health Centre II,M7IdNzIwa32,Budhatemwa Health Centre II,,,100.0,38.0,,12.0,146.0,57.0,53.0,,22.0,26.0,15.0,37.0,19.0,14.0,14.0,3.0,,,,,,,9.0,,,16.0,52.0,,3.0,,,,,1.0,,190.0,,,,75.0,10.0,10.0
202001,January 2020,202001,,MOH - Uganda,North Central,Luwero District,Busiika Town Council,Bugema University Health Centre III,hrEjabfmkqU,Bugema University Health Centre III,,,220.0,15.0,,2.0,24.0,20.0,33.0,33.0,43.0,46.0,38.0,44.0,37.0,25.0,34.0,,,,,1.0,,26.0,,,27.0,3.0,,,,,,,,5.0,,10.0,75.0,,,24.0,27.0,27.0
202001,January 2020,202001,,MOH - Uganda,Busoga,Kamuli District,Butansi Subcounty,Bugeywa Health Centre II,b9niqLqoyqP,Bugeywa Health Centre II,,,388.0,489.0,115.0,19.0,19.0,151.0,80.0,,64.0,100.0,80.0,64.0,100.0,80.0,57.0,,,,6.0,,,5.0,37.0,,,3.0,,25.0,1.0,,,,,,1.0,8.0,,2.0,,28.0,87.0,40.0
202001,January 2020,202001,,MOH - Uganda,Busoga,Kamuli District,Bugulumbya Subcounty,Bugulumbya Flep Health Centre II,ptjWwKVSEsQ,Bugulumbya Flep Health Centre II,,,138.0,15.0,,7.0,40.0,56.0,36.0,,45.0,58.0,49.0,45.0,58.0,49.0,21.0,,,,,,73.0,,71.0,,,12.0,,2.0,,,,,,,,980.0,,,,43.0,55.0,33.0
202001,January 2020,202001,,MOH - Uganda,South Central,Gomba District,Kyegonza Subcounty,Bukalagi Health Centre III,tw7g2aShrXi,Bukalagi Health Centre III,,,385.0,2.0,179.0,17.0,31.0,102.0,45.0,,26.0,32.0,23.0,20.0,34.0,29.0,34.0,,,,,,,,,,,,,,,,,,,,,,250.0,,,31.0,53.0,6.0
202001,January 2020,202001,,MOH - Uganda,North Central,Mityana District,Kikandwa Subcounty,Bukalamuli Health Centre III,aX6RTPDgyh1,Bukalamuli Health Centre III,,,347.0,11.0,,5.0,4.0,18.0,7.0,,21.0,17.0,22.0,19.0,14.0,12.0,19.0,,,,,,,,,,,,,,,,,,,,,,40.0,,,5.0,28.0,
202001,January 2020,202001,,MOH - Uganda,Teso,Bukedea District,Bukedea Town Council,Bukedea Mission Health Centre II,aNchHEjSnch,Bukedea Mission Health Centre II,,,404.0,404.0,,36.0,127.0,216.0,36.0,36.0,25.0,46.0,29.0,25.0,46.0,29.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,129.0,47.0,
202001,January 2020,202001,,MOH - Uganda,North Central,Mukono District,Goma Division,Bukerere Health Centre II,l5HaUjsJOQX,Bukerere Health Centre II,,,690.0,511.0,,8.0,59.0,29.0,45.0,233.0,53.0,58.0,53.0,54.0,58.0,53.0,46.0,7.0,,,,,,,,,,,,,,,,,,,,,65.0,,,59.0,89.0,43.0
202001,January 2020,202001,,MOH - Uganda,North Central,Kyankwanzi District,Butemba Town Council,Bukwiri COU Health Centre II,dxqfSox63Rh,Bukwiri COU Health Centre II,,,763.0,4.0,,16.0,16.0,60.0,47.0,30.0,51.0,54.0,48.0,56.0,59.0,51.0,28.0,,,,,8.0,,14.0,4.0,,,1.0,,,,,,,,7.0,,,,,,,44.0,
202001,January 2020,202001,,MOH - Uganda,Busoga,Kamuli District,Nawanyago Subcounty,Bupadhengo Flep Health Centre II,Lgs45wMr4Ua,Bupadhengo Flep Health Centre II,,,279.0,103.0,,17.0,43.0,52.0,,,,,,,,,,,,,,,,,34.0,,,19.0,,6.0,,,,,,,,71.0,,,,,266.0,138.0
202001,January 2020,202001,,MOH - Uganda,Busoga,Namayingo District,Banda Subcounty,Busiro Church of God Health Centre III,s3KGtzqaMyJ,Busiro Church of God Health Centre III,,,127.0,11.0,,4.0,4.0,32.0,18.0,,7.0,19.0,11.0,8.0,18.0,11.0,4.0,,,,,,,,21.0,,,,,,,,,,,,,6.0,71.0,,,25.0,18.0,13.0
202001,January 2020,202001,,MOH - Uganda,South Central,Masaka City,Nyendo-Mukungwe Division,Butende Health Centre III,S79Lcu8O003,Butende Health Centre III,,,358.0,124.0,169.0,24.0,83.0,43.0,30.0,30.0,28.0,39.0,17.0,28.0,39.0,17.0,27.0,,,,,,,,,,,,,,,,3.0,8.0,,,,,123.0,,,18.0,60.0,
202001,January 2020,202001,,MOH - Uganda,Busoga,Mayuge District,Buwaaya Subcounty,Buwaya Health Centre II,lCEffRvoU53,Buwaya Health Centre II,,,330.0,9.0,,24.0,41.0,104.0,45.0,45.0,39.0,41.0,36.0,39.0,41.0,36.0,36.0,,,,2.0,,1.0,20.0,19.0,,,6.0,,7.0,1.0,,,,,,21.0,55.0,,,,41.0,55.0,23.0
202001,January 2020,202001,,MOH - Uganda,South Central,Rakai District,Ddwaniro Subcounty,Buyamba Disp & Mu Health Centre III,ICMb8Mqt8ze,Buyamba Disp & Mu Health Centre III,,,926.0,,,29.0,114.0,83.0,56.0,44.0,38.0,69.0,48.0,36.0,68.0,35.0,31.0,,,,,,,,,,,,,,,,,,,,,,106.0,,,114.0,24.0,32.0
202001,January 2020,202001,,MOH - Uganda,Busoga,Buyende District,Buyanja Subcounty,Buyanja SDA Health Centre II,YYtjEbgJadL,Buyanja SDA Health Centre II,,,305.0,66.0,,39.0,34.0,186.0,36.0,47.0,56.0,59.0,52.0,77.0,88.0,55.0,,,,,,,,,94.0,,,11.0,,15.0,12.0,,,,,,,53.0,,,,69.0,1214.0,1223.0
202001,January 2020,202001,,MOH - Uganda,South Central,Wakiso District,Kasanje Subcounty,Buyege Health Centre III,k2a3PCnnVdI,Buyege Health Centre III,,,708.0,4.0,259.0,31.0,58.0,113.0,59.0,,57.0,70.0,68.0,61.0,66.0,69.0,78.0,,,,,,,,,,,,,,,,,,,,,,156.0,,,59.0,112.0,58.0
