periodid,periodname,periodcode,perioddescription,orgunitlevel1,orgunitlevel2,orgunitlevel3,orgunitlevel4,orgunitlevel5,organisationunitid,organisationunitname,organisationunitcode,organisationunitdescription,105-OA01. New attendance,105-OA02. Re-attendance,108-CI02. No. of admissions,105-MA04a. Deliveries in unit - Total,105-PN01a. Post Natal Attendances - Mother,105-AN05. Total ANC contacts/visits (New clients + Re-attendances),105-CL01. BCG,105-CL02. Protection At Birth for TT(PAB),105-CL07. IPV,105-CL11. PCV 1,105-CL12. PCV 2,105-CL13. PCV 3,105-CL14. Rotavirus 1 Vaccine,105-CL15. Rotavirus 2 Vaccine,105-CL16. Measles (MR1),105-CL17. Measles 2 (MR2),105-FP01. Oral. Lo-Femenal,105-FP02. Oral. Microgynon,105-FP03. Oral. Ovrette or another POP,105-FP04. Oral. Levonogesteral,105-FP05. Oral. Others,105-FP06. Injectable DMPA(IM)3 months,105-FP07. Injectable DMPA(SC) 3 months,105-FP08. Injection 2 months,105-FP09. Injection 1 month,"105-FP10. 3 year implant (e.g. implananon NXT, Levo plant)",105-FP11. 4 year implant (e.g. Sino plant),105-FP12. 5 year implant (e.g. Jadella),105-FP13. IUD-Copper-T,105-FP14. IUD-Hormonal,105-FP15. FAM-SDM method,105-FP16. FAM-LAM,105-FP17. FAM-Two Days Method,105-FP18. Emergency Contraceptive Pills users,105-FP19. Female Condoms,105-FP20. Male Condoms,105-HT06. Individuals Received HIV test results,105-MF01. Female sterilization (tubal ligation),105-MF02. Male sterilization (vasectomy),105-PN01b. Post Natal Attendances,105-CH01. Vit A supplement (1st Dose),105-CH02. Vit A supplement (2nd Dose)
202401,January 2024,202401,,MOH - Uganda,North Central,Nakaseke District,Nakaseke Town Council,Access Life Care Health Centre II,BQl9b7pSAhx,Access Life Care Health Centre II,,,807.0,176.0,,6.0,12.0,46.0,8.0,8.0,8.0,9.0,4.0,4.0,9.0,4.0,11.0,0.0,0.0,3.0,0.0,0.0,,24.0,4.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.0,12.0,24.0,30.0,0.0,0.0,12.0,24.0,5.0
202401,January 2024,202401,,MOH - Uganda,Kampala,Kampala District,Central Division,Adventist Medical Centre,aWtkpwtp9JE,Adventist Medical Centre,,,181.0,70.0,,2.0,,12.0,4.0,1.0,29.0,14.0,15.0,17.0,10.0,7.0,17.0,0.0,0.0,2.0,0.0,3.0,,13.0,22.0,,,5.0,,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,62.0,0.0,0.0,,0.0,27.0
202401,January 2024,202401,,MOH - Uganda,North Central,Mityana District,Kakindu Subcounty,Arch Bishop Kiwanuka Mayirye Health Centre III,MGoloBUb8vi,Arch Bishop Kiwanuka Mayirye Health Centre III,,,91.0,33.0,19.0,10.0,10.0,53.0,18.0,,11.0,12.0,16.0,19.0,12.0,16.0,16.0,18.0,,,,,,,,,,,,,,,,,,,,,72.0,,,10.0,34.0,
202401,January 2024,202401,,MOH - Uganda,South Central,Wakiso District,Wakiso Subcounty,Bbira Ngo Health Centre II,alzSFDpdbba,Bbira Ngo Health Centre II,,,295.0,87.0,,46.0,,215.0,240.0,240.0,49.0,261.0,181.0,233.0,261.0,262.0,219.0,,,1.0,,,,1.0,41.0,,,,,30.0,5.0,,,,,,,,270.0,,,,,
202401,January 2024,202401,,MOH - Uganda,North Central,Luwero District,Luweero Town Council,Bishop Ascili Hospital,adofLhuj4HH,Bishop Ascili Hospital,,,972.0,746.0,358.0,101.0,148.0,225.0,104.0,148.0,63.0,40.0,29.0,100.0,100.0,84.0,60.0,40.0,,,,,,,,,,,,,,,,,,,,,494.0,,,148.0,245.0,253.0
202401,January 2024,202401,,MOH - Uganda,Busoga,Kamuli District,Kitayunjwa Subcounty,Budhatemwa Health Centre II,M7IdNzIwa32,Budhatemwa Health Centre II,,,421.0,22.0,,12.0,105.0,31.0,69.0,,49.0,44.0,46.0,49.0,44.0,46.0,24.0,,,9.0,1.0,,,42.0,89.0,,,34.0,,,,,,,,,,21.0,,,,105.0,81.0,52.0
202401,January 2024,202401,,MOH - Uganda,North Central,Luwero District,Busiika Town Council,Bugema University Health Centre III,hrEjabfmkqU,Bugema University Health Centre III,,,1642.0,34.0,56.0,13.0,22.0,77.0,31.0,31.0,51.0,50.0,49.0,55.0,50.0,47.0,42.0,12.0,,,,,,50.0,22.0,,,,,29.0,8.0,,,,,11.0,,38.0,76.0,,,22.0,66.0,77.0
202401,January 2024,202401,,MOH - Uganda,Busoga,Kamuli District,Butansi Subcounty,Bugeywa Health Centre II,b9niqLqoyqP,Bugeywa Health Centre II,,,699.0,16.0,42.0,42.0,157.0,224.0,52.0,0.0,44.0,66.0,72.0,44.0,66.0,72.0,54.0,,,15.0,4.0,,,49.0,59.0,,,6.0,,24.0,2.0,,,,,4.0,,2.0,,,,150.0,72.0,28.0
202401,January 2024,202401,,MOH - Uganda,Busoga,Kamuli District,Bugulumbya Subcounty,Bugulumbya Flep Health Centre II,ptjWwKVSEsQ,Bugulumbya Flep Health Centre II,,,537.0,7.0,,4.0,,29.0,20.0,,31.0,27.0,32.0,31.0,27.0,32.0,32.0,5.0,,,,,,,,,,,,,,,,,,,,,56.0,,,,22.0,20.0
202401,January 2024,202401,,MOH - Uganda,South Central,Gomba District,Kyegonza Subcounty,Bukalagi Health Centre III,tw7g2aShrXi,Bukalagi Health Centre III,,,213.0,,102.0,13.0,38.0,79.0,56.0,51.0,67.0,67.0,50.0,49.0,67.0,50.0,66.0,15.0,,,,,,,,,,,,,,,,33.0,,,,,216.0,,,38.0,389.0,389.0
202401,January 2024,202401,,MOH - Uganda,North Central,Mityana District,Kikandwa Subcounty,Bukalamuli Health Centre III,aX6RTPDgyh1,Bukalamuli Health Centre III,,,402.0,3.0,,11.0,22.0,19.0,10.0,,33.0,18.0,15.0,13.0,18.0,15.0,14.0,11.0,,,,,,,,,,,,,,,,,,,,,19.0,,,22.0,32.0,
202401,January 2024,202401,,MOH - Uganda,Teso,Bukedea District,Bukedea Town Council,Bukedea Mission Health Centre II,aNchHEjSnch,Bukedea Mission Health Centre II,,,117.0,,,30.0,102.0,72.0,47.0,47.0,60.0,57.0,49.0,60.0,55.0,48.0,47.0,19.0,,,,,,,,,,,,,,,,,,,,,32.0,,,96.0,38.0,19.0
202401,January 2024,202401,,MOH - Uganda,North Central,Mukono District,Goma Division,Bukerere Health Centre II,l5HaUjsJOQX,Bukerere Health Centre II,,,691.0,290.0,28.0,6.0,123.0,40.0,37.0,302.0,74.0,74.0,66.0,73.0,74.0,66.0,74.0,29.0,,,,,,,,,,,,,,,4.0,20.0,1.0,,,,40.0,,,123.0,84.0,98.0
202401,January 2024,202401,,MOH - Uganda,North Central,Kyankwanzi District,Butemba Town Council,Bukwiri COU Health Centre II,dxqfSox63Rh,Bukwiri COU Health Centre II,,,274.0,4.0,,8.0,8.0,46.0,23.0,40.0,,,,39.0,56.0,,51.0,2.0,,,,,,,34.0,,,1.0,,,,,,,,,,,,,,8.0,23.0,
